,pokemon_nome,pokemon_altura,pokemon_peso,pokemon_cor_pokedex,pokemon_evolucao,pokemon_tipo,Dano
485.0,Heatran,5'071.7 m,948.0 lbs.430.0 kg,Brown,[],"['Fire', 'Steel']","{'Normal': '*0.5', 'Fire': '*1', 'Water': '*2', 'Electric': '*1', 'Grass': '*0.25', 'Ice': '*0.25', 'Fighting': '*2', 'Poison': '*0', 'Ground': '*4', 'Flying': '*0.5', 'Psychic': '*0.5', 'Bug': '*0.25', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0.5', 'Dark': '*1', 'Steel': '*0.25', 'Fairy': '*0.25'}"
480.0,Uxie,,,,[],['Psychic'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0.5', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
481.0,Mesprit,,,,[],['Psychic'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0.5', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
479.0,Rotom,1'000.3 m,0.7 lbs.0.3 kg,Red,[],"['Electric', 'Ghost']","{'Normal': '*0', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*0.5', 'Fairy': '*1'}"
478.0,Froslass,4'031.3 m,58.6 lbs.26.6 kg,White,"['Snorunt', 'Glalie']","['Ice', 'Ghost']","{'Normal': '*0', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*0.5', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*2', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*2', 'Fairy': '*1'}"
477.0,Dusknoir,7'032.2 m,235.0 lbs.106.6 kg,Black,[],['Ghost'],"{'Normal': '*0', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
475.0,Gallade,5'031.6 m,114.6 lbs.52.0 kg,White,[],"['Psychic', 'Fighting']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
473.0,Mamoswine,8'022.5 m,641.5 lbs.291.0 kg,Brown,[],"['Ice', 'Ground']","{'Normal': '*1', 'Fire': '*2', 'Water': '*2', 'Electric': '*0', 'Grass': '*2', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
468.0,Togekiss,4'111.5 m,83.8 lbs.38.0 kg,White,[],"['Fairy', 'Flying']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*2', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0.25', 'Poison': '*2', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.25', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*1'}"
467.0,Magmortar,5'031.6 m,149.9 lbs.68.0 kg,Red,[],['Fire'],"{'Normal': '*1', 'Fire': '*0.5', 'Water': '*2', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
466.0,Electivire,5'111.8 m,305.6 lbs.138.6 kg,Yellow,[],['Electric'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
471.0,Glaceon,2'070.8 m,57.1 lbs.25.9 kg,Blue,"['Jolteon', 'Vaporeon', 'Flareon', 'Espeon', 'Umbreon', 'Sylveon', 'Learn as Eevee']",['Ice'],"{'Normal': '*1', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
470.0,Leafeon,3'031.0 m,56.2 lbs.25.5 kg,Green,"['Glaceon', 'Jolteon', 'Vaporeon', 'Flareon', 'Espeon', 'Umbreon', 'Sylveon', 'Learn as Eevee']",['Grass'],"{'Normal': '*1', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*2', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
465.0,Tangrowth,6'072.0 m,283.5 lbs.128.6 kg,Blue,[],['Grass'],"{'Normal': '*1', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*2', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
464.0,Rhyperior,7'102.4 m,623.5 lbs.282.8 kg,Gray,[],"['Ground', 'Rock']","{'Normal': '*0.5', 'Fire': '*0.5', 'Water': '*4', 'Electric': '*0', 'Grass': '*4', 'Ice': '*2', 'Fighting': '*2', 'Poison': '*0.25', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
459.0,Snover,3'031.0 m,111.3 lbs.50.5 kg,White,['Abomasnow'],"['Grass', 'Ice', 'Never']","{'Normal': '*1', 'Fire': '*4', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*2', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*2', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
458.0,Mantyke,3'031.0 m,143.3 lbs.65.0 kg,Blue,['Mantine'],"['Water', 'Flying']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*4', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
462.0,Magnezone,3'111.2 m,396.8 lbs.180.0 kg,Gray,[],"['Electric', 'Steel']","{'Normal': '*0.5', 'Fire': '*2', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*0', 'Ground': '*4', 'Flying': '*0.25', 'Psychic': '*0.5', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*0.5', 'Dark': '*1', 'Steel': '*0.25', 'Fairy': '*0.5'}"
463.0,Lickilicky,5'071.7 m,308.6 lbs.140.0 kg,Pink,[],['Normal'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
461.0,Weavile,3'071.1 m,75.0 lbs.34.0 kg,Black,[],"['Dark', 'Ice']","{'Normal': '*1', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*0.5', 'Fighting': '*4', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*2', 'Rock': '*2', 'Ghost': '*0.5', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*2'}"
460.0,Abomasnow,7'032.2 m,298.7 lbs.135.5 kg,White,[],"['Grass', 'Ice', 'Never']","{'Normal': '*1', 'Fire': '*4', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*2', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*2', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
451.0,Skorupi,2'070.8 m,26.5 lbs.12.0 kg,Purple,['Drapion'],"['Poison', 'Bug']","{'Normal': '*1', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.25', 'Ice': '*1', 'Fighting': '*0.25', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*0.5'}"
450.0,Hippowdon,6'072.0 m,661.4 lbs.300.0 kg,Brown,[],['Ground'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*2', 'Electric': '*0', 'Grass': '*2', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
454.0,Toxicroak,4'031.3 m,97.9 lbs.44.4 kg,Blue,[],"['Poison', 'Fighting']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*2', 'Psychic': '*4', 'Bug': '*0.25', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*1'}"
452.0,Drapion,4'031.3 m,135.6 lbs.61.5 kg,Purple,[],"['Poison', 'Dark']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0.5', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*1'}"
453.0,Croagunk,2'040.7 m,50.7 lbs.23.0 kg,Blue,['Toxicroak'],"['Poison', 'Fighting']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*2', 'Psychic': '*4', 'Bug': '*0.25', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*1'}"
449.0,Hippopotas,2'070.8 m,109.1 lbs.49.5 kg,Brown,['Hippowdon'],['Ground'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*2', 'Electric': '*0', 'Grass': '*2', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
448.0,Lucario,3'111.2 m,119.0 lbs.54.0 kg,Blue,[],"['Fighting', 'Steel']","{'Normal': '*0.5', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*0', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.25', 'Rock': '*0.25', 'Ghost': '*1', 'Dragon': '*0.5', 'Dark': '*0.5', 'Steel': '*0.5', 'Fairy': '*1'}"
447.0,Riolu,2'040.7 m,44.5 lbs.20.2 kg,Blue,['Lucario'],['Fighting'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*2'}"
444.0,Gabite,4'071.4 m,123.5 lbs.56.0 kg,Blue,['Garchomp'],"['Dragon', 'Ground']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*1', 'Electric': '*0', 'Grass': '*1', 'Ice': '*4', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
443.0,Gible,2'040.7 m,45.2 lbs.20.5 kg,Blue,"['Gabite', 'Garchomp']","['Dragon', 'Ground']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*1', 'Electric': '*0', 'Grass': '*1', 'Ice': '*4', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
442.0,Spiritomb,3'031.0 m,238.1 lbs.108.0 kg,Purple,[],"['Ghost', 'Dark']","{'Normal': '*0', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
445.0,Garchomp,6'031.9 m,209.4 lbs.95.0 kg,Blue,[],"['Dragon', 'Ground']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*1', 'Electric': '*0', 'Grass': '*1', 'Ice': '*4', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
446.0,Munchlax,2'000.6 m,231.5 lbs.105.0 kg,Black,"['Snorlax', 'Gigantamax Snorlax']",['Normal'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
440.0,Happiny,2'000.6 m,53.8 lbs.24.4 kg,Pink,"['Chansey', 'Blissey']",['Normal'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
438.0,Bonsly,1'080.5 m,33.1 lbs.15.0 kg,Brown,['Sudowoodo'],['Rock'],"{'Normal': '*0.5', 'Fire': '*0.5', 'Water': '*2', 'Electric': '*1', 'Grass': '*2', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
437.0,Bronzong,4'031.3 m,412.3 lbs.187.0 kg,Green,[],"['Steel', 'Psychic']","{'Normal': '*0.5', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.25', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*2', 'Dragon': '*0.5', 'Dark': '*2', 'Steel': '*0.5', 'Fairy': '*0.5'}"
436.0,Bronzor,1'080.5 m,133.4 lbs.60.5 kg,Green,['Bronzong'],"['Steel', 'Psychic']","{'Normal': '*0.5', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.25', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*2', 'Dragon': '*0.5', 'Dark': '*2', 'Steel': '*0.5', 'Fairy': '*0.5'}"
435.0,Skuntank,3'031.0 m,83.8 lbs.38.0 kg,Purple,[],"['Poison', 'Dark']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0.5', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*1'}"
434.0,Stunky,1'040.4 m,42.3 lbs.19.2 kg,Purple,['Skuntank'],"['Poison', 'Dark']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0.5', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*1'}"
428.0,Lopunny,3'111.2 m,73.4 lbs.33.3 kg,Brown,[],['Normal'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
427.0,Buneary,1'040.4 m,12.1 lbs.5.5 kg,Brown,['Lopunny'],['Normal'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
426.0,Drifblim,3'111.2 m,33.1 lbs.15.0 kg,Purple,[],"['Ghost', 'Flying']","{'Normal': '*0', 'Fire': '*1', 'Water': '*1', 'Electric': '*2', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.25', 'Rock': '*2', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
425.0,Drifloon,1'040.4 m,2.6 lbs.1.2 kg,Purple,['Drifblim'],"['Ghost', 'Flying']","{'Normal': '*0', 'Fire': '*1', 'Water': '*1', 'Electric': '*2', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.25', 'Rock': '*2', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
423.0,Gastrodon,2'110.9 m,65.9 lbs.29.9 kg,Purple,[],"['Water', 'Ground']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*1', 'Electric': '*0', 'Grass': '*4', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
422.0,Shellos,1'000.3 m,13.9 lbs.6.3 kg,Purple,['Gastrodon'],['Water'],"{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*2', 'Grass': '*2', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
420.0,Cherubi,,,,['Cherrim'],['Grass'],"{'Normal': '*1', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*2', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
421.0,Cherrim,,,,[],['Grass'],"{'Normal': '*1', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*2', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
416.0,Vespiquen,3'111.2 m,84.9 lbs.38.5 kg,Yellow,[],"['Bug', 'Flying']","{'Normal': '*1', 'Fire': '*2', 'Water': '*1', 'Electric': '*2', 'Grass': '*0.25', 'Ice': '*2', 'Fighting': '*0.25', 'Poison': '*1', 'Ground': '*0', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*4', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
415.0,Combee,1'000.3 m,12.1 lbs.5.5 kg,Yellow,['Vespiquen'],"['Bug', 'Flying']","{'Normal': '*1', 'Fire': '*2', 'Water': '*1', 'Electric': '*2', 'Grass': '*0.25', 'Ice': '*2', 'Fighting': '*0.25', 'Poison': '*1', 'Ground': '*0', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*4', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
407.0,Roserade,2'110.9 m,32.0 lbs.14.5 kg,Green,[],"['Grass', 'Poison']","{'Normal': '*1', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.25', 'Ice': '*2', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*2', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*0.5'}"
406.0,Budew,0'080.2 m,2.6 lbs.1.2 kg,Green,"['Roselia', 'Roserade']","['Grass', 'Poison']","{'Normal': '*1', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.25', 'Ice': '*2', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*2', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*0.5'}"
404.0,Luxio,2'110.9 m,67.2 lbs.30.5 kg,Blue,['Luxray'],['Electric'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
405.0,Luxray,4'071.4 m,92.6 lbs.42.0 kg,Blue,[],['Electric'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
403.0,Shinx,1'080.5 m,20.9 lbs.9.5 kg,Blue,"['Luxio', 'Luxray']",['Electric'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
385.0,Jirachi,,,,[],"['Steel', 'Psychic']","{'Normal': '*0.5', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.25', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*2', 'Dragon': '*0.5', 'Dark': '*2', 'Steel': '*0.5', 'Fairy': '*0.5'}"
